"","studyid","obsid","lnwtp","wlfresh","lnyear","lninc","sagulf","nema","nmw","local","prov","reg","cult","forest","q0","q1","volunt","lumpsum","ce","nrev","median","canada","q01","q_percent","lnwtp2","q_change","us"
"25",128,1282,5.849029347,1,1.322,11.00874438,0,0,0,0,0,1,0,0,949.184,1084.782,0,0,0,1,0,1,1016.983,0.142857443867575,0.939334720865014,135.598,0
"26",128,1283,5.870867713,1,1.322,11.00874438,0,0,0,0,0,1,0,0,949.184,1125.461,0,0,0,1,0,1,1037.3225,0.185714255613243,0.698811091550878,176.277,0
"27",128,1284,5.912635062,1,1.322,11.00874438,0,0,0,0,0,1,0,0,949.184,1206.82,0,0,0,1,0,1,1078.002,0.27142893264109,0.361087325981345,257.636,0
"28",128,1285,5.991332038,1,1.322,11.00874438,0,0,0,0,0,1,0,0,949.184,1355.977,0,0,0,1,0,1,1152.5805,0.428571278066213,-0.0169724185533946,406.793,0
"29",129,1291,4.649608035,1,1.146,11.13604781,0,0,0,1,1,1,0,0,4.2,8.4,1,1,0,0,0,1,6.3,1,3.21452350971068,4.2,0
"30",130,1301,3.608894245,1,1.301,10.91326863,0,0,0,1,1,0,0,1,0,5.884,0,0,0,1,1,1,2.942,100,1.83665744226081,5.884,0
"31",130,1302,3.121245355,1,1.301,10.91326863,0,0,0,1,1,0,0,1,0,11.3,0,0,0,1,1,1,5.65,100,0.696442629281705,11.3,0
"32",130,1303,3.363806992,1,1.301,10.91326863,0,0,0,1,1,0,0,1,0,7.408,0,0,0,1,1,1,3.704,100,1.36124649465612,7.408,0
"33",130,1304,2.844851243,1,1.301,10.91326863,0,0,0,1,1,0,0,1,0,14.318,0,0,0,1,1,1,7.159,100,0.183333756026007,14.318,0
"34",131,1311,2.547176976,1,7.606884531,11.13604781,0,0,0,0,1,1,1,1,1307.159,1413.412,0,0,1,1,0,1,1360.2855,0.0812854442344044,-2.11864606670004,106.253,0
"35",131,1312,3.249754145,1,7.606884531,11.13604781,0,0,0,0,1,1,1,1,1307.159,1616.034,0,0,1,1,0,1,1461.5965,0.236294896030246,-2.48318251930877,308.875,0
"36",132,1321,6.836612598,1,3.295836866,10.88181368,0,0,0,0,1,1,0,0,29652.6458,129948.3595,0,0,0,1,0,1,79800.50265,3.38235293998622,-4.67926564024126,100295.7137,0
